CustomerID,Lookalikes
C0001,"[['C0069', 0.9403204156652951], ['C0127', 0.828037406211635], ['C0035', 0.793203260176466]]"
C0002,"[['C0133', 0.8825181790074803], ['C0103', 0.8489590628478261], ['C0062', 0.8378969142881868]]"
C0003,"[['C0166', 0.9314901859564899], ['C0031', 0.8325921487060882], ['C0159', 0.7855970383106232]]"
C0004,"[['C0122', 0.9315695469676682], ['C0017', 0.9314393701760179], ['C0113', 0.9287598942658766]]"
C0005,"[['C0197', 0.9889776722745626], ['C0007', 0.9465006108788051], ['C0095', 0.9154378543140013]]"
C0006,"[['C0185', 0.8852984527766682], ['C0196', 0.8492987935292341], ['C0135', 0.8338551441260809]]"
C0007,"[['C0005', 0.9465006108788051], ['C0197', 0.9231979887180438], ['C0140', 0.9170291506366028]]"
C0008,"[['C0162', 0.9499844655672675], ['C0181', 0.908097980709248], ['C0090', 0.888164489292764]]"
C0009,"[['C0083', 0.916908896279123], ['C0198', 0.9135509916436702], ['C0033', 0.913301376998187]]"
C0010,"[['C0030', 0.9006452576770005], ['C0029', 0.8846302925605043], ['C0077', 0.8584345416709972]]"
C0011,"[['C0126', 0.9507152546024282], ['C0171', 0.8938089558409392], ['C0193', 0.8800144131390956]]"
C0012,"[['C0065', 0.9492846023804741], ['C0136', 0.9475105436531993], ['C0104', 0.9122170416561075]]"
C0013,"[['C0105', 0.9450536198345486], ['C0067', 0.92751179079658], ['C0188', 0.8430906761352771]]"
C0014,"[['C0151', 0.9919636301668175], ['C0097', 0.9879011567118553], ['C0060', 0.9789994826808972]]"
C0015,"[['C0123', 0.9846804774949209], ['C0014', 0.9428202592500906], ['C0036', 0.932801521770768]]"
C0016,"[['C0183', 0.9803621432345261], ['C0107', 0.9723005076017842], ['C0072', 0.7755774097032557]]"
C0017,"[['C0075', 0.962113302590854], ['C0090', 0.946396044702753], ['C0122', 0.9381784593064428]]"
C0018,"[['C0148', 0.8123830664295791], ['C0168', 0.7784656232361354], ['C0023', 0.7551162810811236]]"
C0019,"[['C0191', 0.9204008198324928], ['C0174', 0.8588150933067481], ['C0118', 0.7955446063480575]]"
C0020,"[['C0140', 0.9638642536346647], ['C0078', 0.9415889772838054], ['C0110', 0.9413209464167603]]"
